"region1","year","co2","pop","gdp","gdp_per_capita","co2_per_capita","accumulated_co2"
"Latin America and the Carribean",1809,0,0,-0.00000000520833333333333,5604.06104237521,1.70669906346188,0
"Latin America and the Carribean",1810,0,0,-0.00000000520833333333333,5483.48281600471,1.66130712410051,0
"Latin America and the Carribean",1811,0,0,-0.00000000520833333333333,5362.90458963421,1.61591518473914,0
"Latin America and the Carribean",1812,0,0,-0.00000000520833333333333,5242.32636326371,1.57052324537777,0
"Latin America and the Carribean",1813,0,0,-0.00000000520833333333333,5121.7481368932,1.5251313060164,0
"Latin America and the Carribean",1814,0,0,-0.00000000520833333333333,5001.1699105227,1.47973936665503,0
"Latin America and the Carribean",1815,0,0,-0.00000000520833333333333,4880.5916841522,1.43434742729366,0
"Latin America and the Carribean",1816,0,0,-0.00000000520833333333333,4760.0134577817,1.38895548793229,0
"Latin America and the Carribean",1817,0,0,-0.00000000520833333333333,4639.4352314112,1.34356354857092,0
"Latin America and the Carribean",1818,0,0,-0.00000000520833333333333,4518.8570050407,1.29817160920955,0
"Latin America and the Carribean",1819,0,0,-0.00000000520833333333333,4398.2787786702,1.25277966984818,0
"Latin America and the Carribean",1820,0,0,-0.00000000520833333333333,4277.7005522997,1.20738773048681,0
"Latin America and the Carribean",1821,0,0,-0.00000000520833333333333,4157.12232592919,1.16199579112544,0
"Latin America and the Carribean",1822,0,0,-0.00000000520833333333333,4036.54409955869,1.11660385176407,0
"Latin America and the Carribean",1823,0,0,-0.00000000520833333333333,3915.96587318819,1.07121191240271,0
"Latin America and the Carribean",1824,0,0,-0.00000000520833333333333,3795.38764681769,1.02581997304134,0
"Latin America and the Carribean",1825,0,0,-0.00000000520833333333333,3674.80942044719,0.980428033679966,0
"Latin America and the Carribean",1826,0,0,-0.00000000520833333333333,3554.23119407669,0.935036094318596,0
"Latin America and the Carribean",1827,0,0,-0.00000000520833333333333,3433.65296770619,0.889644154957226,0
"Latin America and the Carribean",1828,0,0,-0.00000000520833333333333,3313.07474133569,0.844252215595857,0
"Latin America and the Carribean",1829,0,0,-0.00000000520833333333333,3192.49651496519,0.798860276234487,0
"Latin America and the Carribean",1830,0,0,-0.00000000520833333333333,3071.91828859468,0.753468336873117,0
"Latin America and the Carribean",1831,0,0,-0.00000000520833333333333,2951.34006222418,0.708076397511748,0
"Latin America and the Carribean",1832,0,0,-0.00000000520833333333333,2830.76183585368,0.662684458150378,0
"Latin America and the Carribean",1833,0,0,-0.00000000520833333333333,2710.18360948318,0.617292518789008,0
"Latin America and the Carribean",1834,0,0,-0.00000000520833333333333,2589.60538311268,0.571900579427639,0
"Latin America and the Carribean",1835,0,0,-0.00000000520833333333333,2469.02715674218,0.526508640066269,0
"Latin America and the Carribean",1836,0,0,-0.00000000520833333333333,2348.44893037168,0.481116700704899,0
"Latin America and the Carribean",1837,0,0,-0.00000000520833333333333,2227.87070400118,0.43572476134353,0
"Latin America and the Carribean",1838,0,0,-0.00000000520833333333333,2107.29247763068,0.39033282198216,0
"Latin America and the Carribean",1839,0,0,-0.00000000520833333333333,1986.71425126017,0.34494088262079,0
"Latin America and the Carribean",1840,0,0,-0.00000000520833333333333,1866.13602488967,0.29954894325942,0
"Latin America and the Carribean",1841,0,0,-0.00000000520833333333333,1745.55779851917,0.254157003898051,0
"Latin America and the Carribean",1842,0,0,-0.00000000520833333333333,1624.97957214867,0.208765064536681,0
"Latin America and the Carribean",1843,0,0,-0.00000000520833333333333,1504.40134577817,0.163373125175312,0
"Latin America and the Carribean",1844,8.057,423666.666666349,473.235666661458,1383.82311940767,0.117981185813942,8.057
"Latin America and the Carribean",1845,20.0723333333333,854666.666666349,965.006666661458,1263.24489303717,0.0725892464525719,28.1293333333333
"Latin America and the Carribean",1846,35.2926666666667,1293333.33333302,1478.24666666146,1142.66666666667,0.0271973070912021,63.422
"Latin America and the Carribean",1847,45.851,1315999.99999968,1533.02333332813,1164.66666666667,0.0347606187601183,109.273
"Latin America and the Carribean",1848,55.0336666666667,1339333.33333302,1598.71933332813,1193.33333333333,0.041020475387892,164.306666666667
"Latin America and the Carribean",1849,78.4913333333333,1362666.66666635,1685.15533332812,1236,0.0573610774572175,242.798
"Latin America and the Carribean",1850,91.2513333333333,1386333.33333302,1792.58299999479,1292.33333333333,0.065710672176116,334.049333333333
"Latin America and the Carribean",1851,106.869333333333,1409999.99999968,1900.49199999479,1347.33333333333,0.0758318545298337,440.918666666667
"Latin America and the Carribean",1852,128.483,1433999.99999968,1983.15999999479,1382.66666666667,0.0892779587228515,569.401666666667
"Latin America and the Carribean",1853,135.950666666667,1457999.99999968,2021.53599999479,1386.66666666667,0.0932358008185435,705.352333333333
"Latin America and the Carribean",1854,100.931,1482333.33333302,2052.89633332812,1385,0.0687541535730994,806.283333333333
"Latin America and the Carribean",1855,90.9393333333333,1506999.99999968,2098.25233332813,1392,0.0602347426462005,897.222666666667
"Latin America and the Carribean",1856,125.278666666667,1531999.99999968,2165.04933332813,1413,0.0810270319634366,1022.50133333333
"Latin America and the Carribean",1857,271.489333333333,1556999.99999968,2239.27433332813,1438,0.173391929054159,1293.99066666667
"Latin America and the Carribean",1858,371.681666666667,1582333.33333302,2322.54233332813,1467.33333333333,0.23414879041749,1665.67233333333
"Latin America and the Carribean",1859,382.495666666667,1607999.99999968,2431.06466666146,1511.33333333333,0.238551994305539,2048.168
"Latin America and the Carribean",1860,374.937,1634333.33333302,2539.32599999479,1553.33333333333,0.229551596365945,2423.105
"Latin America and the Carribean",1861,323.323666666667,1660666.66666635,2614.03299999479,1574,0.194574166409425,2746.42866666667
"Latin America and the Carribean",1862,337.244666666667,1687666.66666635,2652.69599999479,1572,0.200263476657042,3083.67333333333
"Latin America and the Carribean",1863,281.402333333333,1714666.66666635,2700.21733332812,1574.66666666667,0.164275296868724,3365.07566666667
