"ISO3","ISO2","year","co2","population","gdp","gdp_per_capita","co2_per_capita","region"
"COM","KM",1972,29312,256187,283.137,1105.19659467498,0.114416422378965,"Africa"
"COG","CG",1972,663180,1485274,2423.799,1631.88677644664,0.446503473433185,"Africa"
"COK","CK",1972,10992,20759,88.353,4256.12987138109,0.52950527482056,"Asia and Oceania"
"CRI","CR",1972,1761300,1955547,9909.657,5067.46040877565,0.900668713152893,"America"
"CUB","CU",1972,20777400,9169289,26339.792,2872.61007914572,2.26597722026212,"America"
"CYP","CY",1972,2405900,647620,4512.101,6967.20453352274,3.71498718384238,"Europe"
"DNK","DK",1972,59575400,4981078,142081.486,28524.2443503193,11.9603427209933,"Europe"
"DJI","DJ",1972,190530,165234,570.368,3451.88036360555,1.15309197864846,"Africa"
"DMA","DM",1972,25648,69870,161.741,2314.8847860312,0.367081723200229,"America"
"DOM","DO",1972,4668900,4724801,9345.674,1978.00372968089,0.988168602233195,"America"
"ECU","EC",1972,4589000,6533630,19364.758,2963.85898803575,0.702366066030675,"America"
"EGY","EG",1972,25475000,36330768,30317.247,834.4785609817,0.701196297309212,"Africa"
"SLV","SV",1972,1677200,3798109,10217.633,2690.18951272857,0.44158816927055,"America"
"GNQ","GQ",1972,87936,305362,295.978,969.269260746262,0.287972963237076,"Africa"
"FJI","FJ",1972,578560,547918,1555.549,2839.01788223785,1.05592442664778,"Asia and Oceania"
"FIN","FI",1972,44106100,4639831,86971.48,18744.5361695286,9.50597123041766,"Europe"
"FRA","FR",1972,513963600,52662777,1001915.461,19025.1163739428,9.75952331568083,"Europe"
"PYF","PF",1972,216180,126457,1552.561,12277.3828257827,1.70951390591268,"Asia and Oceania"
"GAB","GA",1972,2737000,622289,4230.195,6797.79812916507,4.39827797052495,"Africa"
"GMB","GM",1972,65952,560553,360.224,642.62255308597,0.117655244017961,"Africa"
"GHA","GH",1972,2399900,9365952,10390.867,1109.4298796321,0.256236632432026,"Africa"
"GRC","GR",1972,31477300,8616667,112088.555,13008.3424368146,3.6530714254131,"Europe"
"GRL","GL",1972,553260,47246,897.756,19001.7355966643,11.7101976886932,"America"
"GRD","GD",1972,47632,98225,191.486,1949.46296767625,0.484927462458641,"America"
"GTM","GT",1972,2706600,5744605,14827.955,2581.19661839239,0.471155109881358,"America"
"GIN","GN",1972,831730,4372212,2070.982,473.669163343406,0.19023094031122,"Africa"
"GNB","GW",1972,65952,595950,405.419,680.2902928098,0.110667002265291,"Africa"
"GUY","GY",1972,1560900,721994,1290.443,1787.33202768998,2.16192932351238,"America"
"HTI","HT",1972,391720,4853117,4174.504,860.169660034984,0.0807151362722143,"America"
"HND","HN",1972,1533100,2956021,4358.394,1474.41239422859,0.518636369633369,"America"
"HKG","HK",1972,9275600,4128333,31868.297,7719.41047391284,2.24681487661,"Asia and Oceania"
"HUN","HU",1972,69341600,10376617,56556.461,5450.37568602561,6.68248620913733,"Europe"
"ISL","IS",1972,1482800,209191,4471.439,21374.910966533,7.08825905512187,"Europe"
"IND","IN",1972,203036000,582837973,207887.088,356.680754567102,0.348357535722883,"Asia and Oceania"
"IRN","IR",1972,106015200,30111574,182388.701,6057.09621821828,3.52074587665195,"Asia and Oceania"
"IRQ","IQ",1972,29520500,10507315,27140.582,2583.01783091113,2.80951889231454,"Asia and Oceania"
"IRL","IE",1972,22036400,3013998,39413.55,13076.8334949127,7.3113518987073,"Europe"
"ISR","IL",1972,16890900,3120950,52492.24,16819.3146317628,5.41210208430125,"Asia and Oceania"
"ITA","IT",1972,328237500,53995422,893814.328,16553.5205558723,6.07898758528084,"Europe"
"JAM","JM",1972,6282300,1915299,10747.767,5611.5348047485,3.28006227748252,"America"
"JPN","JP",1972,852170200,108220404,1657542.945,15316.3625687444,7.87439492463916,"Asia and Oceania"
"JOR","JO",1972,1913600,1704787,5421.987,3180.44834926592,1.1224862695457,"Asia and Oceania"
"KEN","KE",1972,3866200,12322903,12844.066,1042.29222610938,0.313741007293492,"Africa"
